"Song_Name","AVG_Energy","SD_Energy","ZCR_mean","ZCR_sd","Centroid","BW","RollOff","BER_subbass","BER_bass","BER_low_mid","BER_mid","BER_high_mid","BER_treble","MEL_mean","MEL_sd","Genero"
"Lee Morgan Quintet - Ceora [ECw3WAX41OA].wav",0.014464746011276,0.033955887675707,0.0266006408119421,0.0177350609550617,1.3276404367846,2.00516916200485,656.25,0.183988863167599,0.242968677155155,0.10581050044705,0.0481994061170042,0.0134146999034411,0.00135836698568666,-4.28544563126007,18.3823974397527,"Jazz"
"Little Brown Jug Glenn Miller [OYo6G8RBjAE].wav",0.0343547715889852,0.0779047076789271,0.0258855922262966,0.0265116304437406,1.33284669878315,1.65120326863134,602.9296875,0.3600135820678,0.148382135695282,0.0725113442084757,0.0300721815305681,0.0514453674411449,0.000691014774864418,-2.31439401028847,19.5656439381049,"Jazz"
"Little Sunflower - Original Version - 1967 [OtB8dEuEmNM].wav",0.0215387556504788,0.043963061306422,0.0424775206504426,0.0302471623373835,2.34273755740278,3.48312751872039,984.375,0.0776491588546197,0.163559180163122,0.313334053328912,0.0379993003239487,0.00557107486691102,0.00447096333028862,-3.40396180516784,16.2975086566532,"Jazz"
"Louis Armstrong -  C'est si bon (1962) [OFCS7kZwxug].wav",0.0107111478337393,0.0256238776670418,0.0575727164129348,0.0419838015030204,2.71588713317737,3.41215092419806,1500,0.135903865511548,0.124980541831429,0.18214388041767,0.183479360251807,0.0324091637527129,0.0299641085608827,-3.86755618457196,14.5329134975893,"Jazz"
"Louis Armstrong - When The Saints Go Marching In [wyLjbMBpGDA].wav",0.0136518774156128,0.0296445014103569,0.0726371217172278,0.0551400269809338,3.55920436168864,4.03288760871795,1875,0.158648902053806,0.169725679797327,0.203754558562657,0.120182013515067,0.0698319395042019,0.0356603283127703,-3.95487968143477,21.321802974402,"Jazz"
"Louis Armstrong-Go Down Moses [SP5EfwBWgg0].wav",0.0154443002549314,0.0388494761086715,0.0392754287513428,0.0324558388826276,1.99131088742166,2.67850781134463,1125,0.133502042301974,0.275679998126309,0.164049984859157,0.081540770597909,0.0195144967142526,0.00961888060191392,-3.80212401071951,17.3944235393177,"Jazz"
"Miles Davis - All Blues (Audio) (Official Audio) [-488UORrfJ0].wav",0.0191740490804183,0.0339636831343072,0.0260894729043968,0.016895864104142,1.65475677073656,2.70580855590743,515.625,0.289310348773863,0.257828926712257,0.0393029380991344,0.00529467940398644,0.0139138410959714,0.00339936455294812,-3.24852339959529,16.4673588056267,"Jazz"
"Miles Davis - Freddie Freeloader (Audio) (Official Audio) [ZZcuSBouhVA].wav",0.0139777414199937,0.0297687515951782,0.0353888858021262,0.0223317742828194,2.09414399079138,3.19459971549642,703.125,0.188773069514206,0.122782492902471,0.149723042403803,0.0491136101057052,0.00591494076802522,0.00365319627965355,-2.3301310644943,17.5871079979694,"Jazz"
"Miles Davis - Milestones [2vOWMz1z7rk].wav",0.0182543315978444,0.044843394949352,0.0795307566297991,0.039835804883932,3.1034748650164,3.03261726915663,2842.3828125,0.0934641887387353,0.106916157514982,0.167039422434917,0.165992339825291,0.139145519474976,0.0394086074922067,-3.37781478922195,18.6692906616006,"Jazz"
"Miles Davis - On Green Dolphin street [IrVnm66joQk].wav",0.0162552914142862,0.0343732380113815,0.0227609780716376,0.0246258943680712,1.29902585132006,2.20015404023363,562.5,0.218894669679088,0.333294189342829,0.0149377112345808,0.0151553386452487,0.0171015368422291,0.0249704582970438,-4.00763662212235,20.0198921835041,"Jazz"
"More Today Than Yesterday-Charles Earland-1970 [WqEweV0eScg].wav",0.0396379627766275,0.0631251209783101,0.0283863716338853,0.022141822541854,1.59232696922715,2.57425192767545,421.875,0.398556358073981,0.112790441685563,0.0545060404152095,0.0108303051107826,0.00542186421956973,0.00385511628149797,-1.44205356182316,16.7788933045933,"Jazz"
"My Favorite Things - John Coltrane [FULL VERSION] HQ [qWG2dsXV5HI].wav",0.0244812355333692,0.0412917587302856,0.0314135598399822,0.0228998615655002,1.87953821268547,3.03705292274946,656.25,0.188828881020245,0.162780774010437,0.090016034351195,0.0418061733245879,0.00535565727597988,0.00297362582655353,-2.5904009445996,14.9205745127507,"Jazz"
"Naima - John Coltrane [Cx-TxiBi43c].wav",0.0109320270924609,0.0261941485136664,0.0210874124902767,0.0165454510725947,1.06164964520544,1.59156565070416,515.625,0.124269521171161,0.225773892073317,0.0577457720202249,0.0364172036410729,0.0117964595216398,0.000765869117744983,-4.03207513366343,18.5484128988147,"Jazz"
"Oliver Nelson - Stolen Moments [I777BcgQL9o].wav",0.0178817635852538,0.0336203252454751,0.0337756278475386,0.018324550451431,1.584231654515,1.99769207855439,1218.75,0.206792572704448,0.145816238335123,0.151840051337479,0.0888763349635199,0.0240206686769322,0.00328732455312926,-4.10790343854787,16.0175282385807,"Jazz"
"PERFIDIA  CHA CHA  -  CAL TJADER [0rjP5MPA3qs].wav",0.0218110264582981,0.0382835900270077,0.0462760908619476,0.0272139750410321,2.50885510889448,3.17622069724765,796.875,0.314893995054927,0.125109770735771,0.145331056999201,0.0235693746789786,0.014602463604497,0.0173007167120671,-2.92692359538966,16.0705157760798,"Jazz"
"Randy Weston Quintet at the Five Spot - Hi-Fly [47vdxkLj4nU].wav",0.0289909766106329,0.0618098804395386,0.0435969737378227,0.0260340198433267,1.92642046085026,2.39676831501861,1218.75,0.088785993204954,0.224770493660179,0.201292648766626,0.086821813379889,0.013558881693104,0.0106120504816462,-4.25665130503969,17.4681742098481,"Jazz"
"So What - Miles Davis (1959) [ZrfzenYhv9w].wav",0.00735997522036578,0.0204384365264255,0.0233744721635737,0.0204536050568234,1.40719438022636,2.49922041023472,468.75,0.259701421978684,0.159785764304392,0.0765459698304308,0.0154427694245537,0.00245237201346143,0.0013772030362798,-2.61319382190935,21.0286020730752,"Jazz"
"SONNY ROLLINS.St. Thomas [UA2XIWZxMKM].wav",0.0136159526261524,0.0316263268544929,0.0392072498796163,0.0447129543579006,2.16953429302101,3.07658373993182,562.5,0.296525622262186,0.16060914706691,0.0577164385931488,0.0393361255193929,0.0235651358602279,0.0108282688990198,-2.64152293150286,18.1599913768264,"Jazz"
